"score","id","category","primary_query","secondary_queries","url","stock","price"
"108","180","Fren Diski","Fren Diski Otokar Doruk Sultan Ön SKU ESD 090 04","Otokar Doruk Fren Diski | Otokar Doruk ESD 090 04 | ESD 090 04 Fren Diski | Fren Diski Otokar Doruk Sultan Ön","https://www.frenciniz.com/urun/180/fren-diski-otokar-doruk-sultan-on-sku-esd-090-04-ekersan","157","4636.84"
"108","181","Fren Diski","Fren Diski Otokar Doruk Sultan Ön OEM 13C2505572BA ESD 090 02","Otokar Doruk Fren Diski | Otokar Doruk 13C2505572BA | 13C2505572BA Fren Diski | ESD 090 02 Fren Diski | Fren Diski Otokar Doruk Sultan Ön","https://www.frenciniz.com/urun/181/fren-diski-otokar-doruk-sultan-on-oem-13c2505572ba-esd-090-02-ekersan","157","3445.73"
"108","496","Fren Pabucu","Fren Pabucu BPW ECOPlus Y.M 360 200 OEM 05.091.19.34.0 03.7100.300.031.00","BPW dorse dingili Fren Pabucu | BPW dorse dingili 05.091.19.34.0 | 05.091.19.34.0 Fren Pabucu | 03.7100.300.031.00 Fren Pabucu | Fren Pabucu BPW ECOPlus Y.M 360 200","https://www.frenciniz.com/urun/496/fren-pabucu-bpw-ecoplus-y-m-360-200-oem-05-091-19-34-0-03-7100-300-031-00-ekersan","144","1062.6"
"108","170","Fren Diski","Fren Diski Isuzu Novo NovoCiti Life CitiLife OEM 377777391054 ESD 130 02","Isuzu Novo Fren Diski | Isuzu Novo 377777391054 | 377777391054 Fren Diski | ESD 130 02 Fren Diski | Fren Diski Isuzu Novo NovoCiti Life CitiLife","https://www.frenciniz.com/urun/170/fren-diski-isuzu-novo-novociti-life-citilife-oem-377777391054-esd-130-02-ekersan","140","3233.03"
"108","233","Fren Diski","Fren Diski Mercedes Actros Axor OEM 9754230612 ESD 010 03","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 9754230612 | 9754230612 Fren Diski | ESD 010 03 Fren Diski | Fren Diski Mercedes Actros Axor","https://www.frenciniz.com/urun/233/fren-diski-mercedes-actros-axor-oem-9754230612-esd-010-03-ekersan","129","3789.91"
"108","198","Fren Diski","Fren Diski BPW ECOPlus OEM 0308834040 ESD 070 05","BPW dorse dingili Fren Diski | BPW dorse dingili 0308834040 | 0308834040 Fren Diski | ESD 070 05 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/198/fren-diski-bpw-ecoplus-oem-0308834040-esd-070-05-ekersan","119","4573.03"
"108","196","Fren Diski","Fren Diski BPW ECOPlus OEM 0308834100 ESD 070 07","BPW dorse dingili Fren Diski | BPW dorse dingili 0308834100 | 0308834100 Fren Diski | ESD 070 07 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/196/fren-diski-bpw-ecoplus-oem-0308834100-esd-070-07-ekersan","118","4573.03"
"108","177","Fren Diski","Fren Diski Karsan Atak Ön OEM 3050037 ESD 090 08","Karsan Atak Fren Diski | Karsan Atak 3050037 | 3050037 Fren Diski | ESD 090 08 Fren Diski | Fren Diski Karsan Atak Ön","https://www.frenciniz.com/urun/177/fren-diski-karsan-atak-on-oem-3050037-esd-090-08-ekersan","116","4424.14"
"108","644","Fren Pabucu","Fren Pabucu Mercedes Actros Axor 22 cm OEM 624.420.02.19 EYD 206 08","Mercedes-Benz Actros Fren Pabucu | Mercedes-Benz Actros 624.420.02.19 | 624.420.02.19 Fren Pabucu | EYD 206 08 Fren Pabucu | Fren Pabucu Mercedes Actros Axor 22 cm","https://www.frenciniz.com/urun/644/fren-pabucu-mercedes-actros-axor-22-cm-oem-624-420-02-19-eyd-206-08-ekersan","116","2145"
"108","222","Fren Diski","Fren Diski MAN TGL OEM 81508030063 ESD 020 13","MAN TGL Fren Diski | MAN TGL 81508030063 | 81508030063 Fren Diski | ESD 020 13 Fren Diski | Fren Diski MAN TGL","https://www.frenciniz.com/urun/222/fren-diski-man-tgl-oem-81508030063-esd-020-13-ekersan","110","2903.34"
"108","195","Fren Diski","Fren Diski BPW ECOPlus OEM 0308834010 ESD 070 10","BPW dorse dingili Fren Diski | BPW dorse dingili 0308834010 | 0308834010 Fren Diski | ESD 070 10 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/195/fren-diski-bpw-ecoplus-oem-0308834010-esd-070-10-ekersan","109","4551.76"
"108","235","Fren Diski","Fren Diski Mercedes Actros Axor OEM 3564211012 ESD 010 01","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 3564211012 | 3564211012 Fren Diski | ESD 010 01 Fren Diski | Fren Diski Mercedes Actros Axor","https://www.frenciniz.com/urun/235/fren-diski-mercedes-actros-axor-oem-3564211012-esd-010-01-ekersan","108","4604.94"
"108","184","Fren Diski","Fren Diski ROR Meritor OEM 1176816 ESD 070 25","ROR dorse dingili Fren Diski | ROR dorse dingili 1176816 | 1176816 Fren Diski | ESD 070 25 Fren Diski | Fren Diski ROR Meritor","https://www.frenciniz.com/urun/184/fren-diski-ror-meritor-oem-1176816-esd-070-25-ekersan","103","5062.24"
"108","187","Fren Diski","Fren Diski SAF Holland OEM 4079001700 ESD 070 22","SAF dorse dingili Fren Diski | SAF dorse dingili 4079001700 | 4079001700 Fren Diski | ESD 070 22 Fren Diski | Fren Diski SAF Holland","https://www.frenciniz.com/urun/187/fren-diski-saf-holland-oem-4079001700-esd-070-22-ekersan","100","4849.54"
"108","171","Fren Diski","Fren Diski Isuzu Novo NovoCiti Life CitiLife Arka OEM 3870143170 ESD 130 01","Isuzu Novo Fren Diski | Isuzu Novo 3870143170 | 3870143170 Fren Diski | ESD 130 01 Fren Diski | Fren Diski Isuzu Novo NovoCiti Life CitiLife Arka","https://www.frenciniz.com/urun/171/fren-diski-isuzu-novo-novociti-life-citilife-arka-oem-3870143170-esd-130-01-ekersan","99","3445.73"
