id,name,sku,oem,category,new_image,source_product_id,source_name,source_sku,source_oem,source_image,match_score
563,Porya ESP 26 27,ESP.26.27,,porya,/img/frenciniz-generated/563_frenciniz.webp,477,Porya BPW ECOPlus,ESP.16.14.01,03.272.62.27.0 - 03.272.62.19.0 - 03.272.62.20.0,/img/477_fc07710972_320.webp,64
566,Süspansiyon Körüğü 426290 S1,426290.S1,,suspansiyon-korugu,/img/frenciniz-generated/566_frenciniz.webp,661,Pistonsuz Körük 424183 S1,424183.S1,(B) E1/E2,/img/661_062b15e312_320.webp,24
601,Süspansiyon Körüğü Scania P G R Y.M,424930.S,,suspansiyon-korugu,/img/frenciniz-generated/601_frenciniz.webp,924,Süspansiyon Körüğü Scania P G R Y.M,423608.C,"1903608 , 1774804",/img/924_04dc57ebcd_320.webp,24
602,Süspansiyon Körüğü Scania P G R Y.M,424933.S,,suspansiyon-korugu,/img/frenciniz-generated/602_frenciniz.webp,924,Süspansiyon Körüğü Scania P G R Y.M,423608.C,"1903608 , 1774804",/img/924_04dc57ebcd_320.webp,24
603,Süspansiyon Körüğü Scania P G R Arka Y.M,424933.C,"2617887 , 1434933 , 1434933",suspansiyon-korugu,/img/frenciniz-generated/603_frenciniz.webp,924,Süspansiyon Körüğü Scania P G R Y.M,423608.C,"1903608 , 1774804",/img/924_04dc57ebcd_320.webp,24
604,Süspansiyon Körüğü Scania P G R Y.M,424930.CP,"1434930 , 1932592 ,2617884",suspansiyon-korugu,/img/frenciniz-generated/604_frenciniz.webp,924,Süspansiyon Körüğü Scania P G R Y.M,423608.C,"1903608 , 1774804",/img/924_04dc57ebcd_320.webp,24
612,Süspansiyon Körüğü Volvo FH FH12 FM FL,424713.C,"20554755 , MLF7098 , MLF7098",suspansiyon-korugu,/img/frenciniz-generated/612_frenciniz.webp,911,Pistonsuz Körük 424713 S,424713.S,MLF7098,/img/911_e861753464_320.webp,224
613,Süspansiyon Körüğü Fruehauf SMB,424156.C,,suspansiyon-korugu,/img/frenciniz-generated/613_frenciniz.webp,617,Süspansiyon Körüğü Fruehauf SMB,424159.S,MLF7015,/img/617_5cb2790303_320.webp,36
616,Süspansiyon Körüğü DAF XF CF BPW ECOPlus SAF Holland,424881.S,0542941010,suspansiyon-korugu,/img/frenciniz-generated/616_frenciniz.webp,610,Süspansiyon Körüğü MAN TGA,424882.C,"0542941010 , 81436016065 , 81436006036",/img/610_fd955967f3_320.webp,172
630,Süspansiyon Körüğü 42810 C1,42810.C1,016010,suspansiyon-korugu,/img/frenciniz-generated/630_frenciniz.webp,889,Pistonsuz Körük 42810 S,42810.S,016010S,/img/889_0cdc2e593a_320.webp,184
631,Süspansiyon Körüğü BMC Probus Profesyonel Fatih Pro,42722.S,,suspansiyon-korugu,/img/frenciniz-generated/631_frenciniz.webp,887,Pistonsuz Körük 42813 S,42813.S,,/img/887_2684b695ed_320.webp,12
643,Fren Pabucu Mercedes Actros Axor,EYD 206 14,,fren-pabucu,/img/frenciniz-generated/643_frenciniz.webp,644,Fren Pabucu Mercedes Actros Axor 22 cm,EYD 206 08,624.420.02.19,/img/644_32ca1bda12_320.webp,158
650,Süspansiyon Körüğü 422211 P02,422211.P02,,suspansiyon-korugu,/img/frenciniz-generated/650_frenciniz.webp,925,Süspansiyon Körüğü 422211 P01,422211.P01,21221395,/img/925_8480fc2dd9_320.webp,52
662,Fren Körüğü Iveco Eurocargo Stralis Trakker,8115,,fren-korugu,/img/frenciniz-generated/662_frenciniz.webp,972,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm,8122-1,8682644620299,/img/972_272113c19d_320.webp,12
663,Fren Körüğü Iveco Eurocargo Stralis Trakker,8114,,fren-korugu,/img/frenciniz-generated/663_frenciniz.webp,972,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm,8122-1,8682644620299,/img/972_272113c19d_320.webp,12
664,Fren Körüğü Iveco Eurocargo Stralis Trakker,8113,,fren-korugu,/img/frenciniz-generated/664_frenciniz.webp,972,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm,8122-1,8682644620299,/img/972_272113c19d_320.webp,12
704,Süspansiyon Körüğü Renault Premium Magnum Kerax Midlum,424915.S,5001855856,suspansiyon-korugu,/img/frenciniz-generated/704_frenciniz.webp,905,Pistonsuz Körük Renault Midlum Premium Magnum,424912.S08,5001832067,/img/905_c696c4639c_320.webp,60
706,Porya ESP 22 04 02,ESP.22.04.02,,porya,/img/frenciniz-generated/706_frenciniz.webp,749,Porya BPW ECOPlus,ESP.16.04.02,"0327230990, 0980106670",/img/749_0517d2cfd3_320.webp,76
746,Porya Dorse Treyler,ESP.16.29,,porya,/img/frenciniz-generated/746_frenciniz.webp,655,Porya BPW ECOPlus,ESP.16.16.02,"0327280140, 0327280100, 0327280190",/img/655_0dfdb11859_320.webp,64
747,Porya ESP 16 25,ESP.16.25,,porya,/img/frenciniz-generated/747_frenciniz.webp,655,Porya BPW ECOPlus,ESP.16.16.02,"0327280140, 0327280100, 0327280190",/img/655_0dfdb11859_320.webp,64
774,Bijon Somunu SAF Holland Sol,EYD 92 03,,somun-civata,/img/frenciniz-generated/774_frenciniz.webp,773,Bijon Somunu SAF Holland SAĞ,EYD 92 04,,/img/773_08f26303e9_320.webp,106
795,Fren Pabucu SAF Holland 18 cm,EYD 80 07,(A) G4 - 3054.0120.00,fren-pabucu,/img/frenciniz-generated/795_frenciniz.webp,798,Fren Pabucu BPW ECOPlus 20 cm,EYD 80 04-2,(A) G4,/img/798_ab4a9de7e0_320.webp,238
797,Fren Pabucu Fruehauf SMB 20 cm,EYD 80 05,,fren-pabucu,/img/frenciniz-generated/797_frenciniz.webp,801,Fren Pabucu BPW ECOPlus 20 cm,EYD 80 03,(A) H4 - 05.091.27.83.0,/img/801_27750a3366_320.webp,130
832,Körük Lastiği Disk imdatlı körüğü Kampana imdatlı körüğü körüğü Y.M,EYD 500 05-2-2,,lastik,/img/frenciniz-generated/832_frenciniz.webp,833,Körük Lastiği Disk imdatlı körüğü Kampana imdatlı körüğü körüğü E.M,EYD 500 05-2,,/img/833_8e66756f69_320.webp,170
850,Fren Pabucu MAN 22 cm SAĞ,EYD 206 09,(A) D3,fren-pabucu,/img/frenciniz-generated/850_frenciniz.webp,849,Fren Pabucu MAN 22 cm Sol,EYD 206 09-1,(A) D3,/img/849_69678e95cb_320.webp,302
852,Fren Pabucu Mercedes Actros Axor 16 cm,EYD 206 06,(A) D3 - 393.420.07.19,fren-pabucu,/img/frenciniz-generated/852_frenciniz.webp,849,Fren Pabucu MAN 22 cm Sol,EYD 206 09-1,(A) D3,/img/849_69678e95cb_320.webp,266
854,Fren Pabucu Ford Cargo BMC Probus Profesyonel Fatih Pro 5 cm,EYD 206 04,,fren-pabucu,/img/frenciniz-generated/854_frenciniz.webp,859,Fren Pabucu Volvo FH FH12 FM FL BMC Probus Profesyonel Fatih Pro 5 cm,EYD 206 01-1,(A) G4 - 30.900.75,/img/859_71ed4aa4b3_320.webp,194
866,Fren Körüğü BPW ECOPlus,EYD 100 71,,fren-korugu,/img/frenciniz-generated/866_frenciniz.webp,623,Fren Körüğü EYD 100 67,EYD 100 67,,/img/623_038bd9fd08_320.webp,110
895,Süspansiyon Körüğü BMC Probus Profesyonel Fatih Pro,42722.C,,suspansiyon-korugu,/img/frenciniz-generated/895_frenciniz.webp,887,Pistonsuz Körük 42813 S,42813.S,,/img/887_2684b695ed_320.webp,12
901,Süspansiyon Körüğü Volvo FH FM FL,424915.C,"20757541 , 20757541 , 20757541 , 20757541",suspansiyon-korugu,/img/frenciniz-generated/901_frenciniz.webp,897,Süspansiyon Körüğü Volvo FH FH12 FM FL,426418.S,,/img/897_e0a228ea40_320.webp,60
910,Süspansiyon Körüğü Volvo FH FH12 FM FL,424718.S,,suspansiyon-korugu,/img/frenciniz-generated/910_frenciniz.webp,611,Süspansiyon Körüğü Volvo FH FH12 FM FL,424718.C,"20554759 , 1075363 , MLF7145",/img/611_e78a146d7f_320.webp,112
940,Bijon Somunu Dakromatlı,ESS 025 20-3,,somun-civata,/img/frenciniz-generated/940_frenciniz.webp,941,Döner Pullu Somun ESS 025 20,ESS 025 20,81455030056 - 81455030026,/img/941_d8ee4019c7_320.webp,122
946,Porya E.M,ESP.22.08,,porya,/img/frenciniz-generated/946_frenciniz.webp,753,Porya Ford Cargo,ESP.08.08,A333K4561,/img/753_6761051af3_320.webp,64
947,Porya ESP 22 06 01,ESP.22.06.01,,porya,/img/frenciniz-generated/947_frenciniz.webp,767,Porya Mercedes Axor Ön,ESP.01.39.01,9433340945,/img/767_58141fff1e_320.webp,64
948,Porya ESP 22 05 01,ESP.22.05.01,,porya,/img/frenciniz-generated/948_frenciniz.webp,767,Porya Mercedes Axor Ön,ESP.01.39.01,9433340945,/img/767_58141fff1e_320.webp,64
949,Porya ESP 22 04 01,ESP.22.04.01,,porya,/img/frenciniz-generated/949_frenciniz.webp,750,Porya BPW ECOPlus,ESP.16.01.04,0327227480,/img/750_499abecdd3_320.webp,76
950,Porya ESP 22 03 01,ESP.22.03.01,,porya,/img/frenciniz-generated/950_frenciniz.webp,477,Porya BPW ECOPlus,ESP.16.14.01,03.272.62.27.0 - 03.272.62.19.0 - 03.272.62.20.0,/img/477_fc07710972_320.webp,76
952,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü,8138,,fren-korugu,/img/frenciniz-generated/952_frenciniz.webp,972,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm,8122-1,8682644620299,/img/972_272113c19d_320.webp,48
954,Fren Körüğü Renault,8131,,fren-korugu,/img/frenciniz-generated/954_frenciniz.webp,962,Fren Körüğü Renault,8109,8682644620022,/img/962_5b1349ed17_320.webp,24
955,Fren Körüğü Renault,8129,,fren-korugu,/img/frenciniz-generated/955_frenciniz.webp,962,Fren Körüğü Renault,8109,8682644620022,/img/962_5b1349ed17_320.webp,24
956,Fren Körüğü Ford Cargo,8127,(A) A2,fren-korugu,/img/frenciniz-generated/956_frenciniz.webp,959,Fren Körüğü Ford Cargo,8120,(A) B2,/img/959_006c28fd23_320.webp,36
1017,Disk Balatası MAN TGA TGS TGX,42325/1-300,29279,fren-balatasi,/img/frenciniz-generated/1017_frenciniz.webp,720,Fren Balatası MAN TGA TGS TGX,PWR-5020,29279,/img/720_36d6471860_320.webp,232
