"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"24","33","sales-priority-1","951","KIZAK 10503","29171 BPW Kogel Dorse Disk Fren Balatasi KIZAK 10503","Kızak","kaliper-urunleri","fren balatasi","3960.00","3","K012619, 2379697","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | Knorr / WABCO / Meritor kaliper uygulamaları | Disk fren montaj sistemi","yes","29171-bpw-kogel-dorse-fren-balatasi","11","https://www.frenciniz.com/urun/951/29171-bpw-kogel-dorse-disk-fren-balatasi-kizak-10503-ekersan"
"25","43","sales-priority-1","72","ESD 020 12","81508030042 MAN TGL TGM Fren Diski ESD 020 12","Fren Diski","disk","fren diski","2903.34","167","81508030042","MAN TGM | MAN TGL | MAN L2000 | MAN TGA 18.430 | MAN TGA 18.460","yes","81508030042-man-tgl-tgm-fren-diski","12","https://www.frenciniz.com/urun/72/81508030042-man-tgl-tgm-fren-diski-esd-020-12-ekersan"
"26","41","sales-priority-1","924","423608.C","1903608 Scania P G R Suspansiyon Korugu 423608.C","Süspansiyon Körüğü","susp-korugu","süspansiyon körüğü","3610.20","191","1903608 , 1774804","Scania P/G/R serisi | Scania P serisi | Scania G420 | Scania G440 | Scania R420","yes","1903608-scania-pgr-suspansiyon-korugu","13","https://www.frenciniz.com/urun/924/1903608-scania-p-g-r-suspansiyon-korugu-423608-c-ekersan"
"27","40","sales-priority-1","923","423608.S","1903608 Scania P G R Suspansiyon Korugu 423608.S","Süspansiyon Körüğü","susp-korugu","süspansiyon körüğü","2475.00","52","1903608S , 1774804S","Dorse | Treyler | Kamyon | Tır / çekici | Krone dorse","yes","1903608-scania-pgr-suspansiyon-korugu","13","https://www.frenciniz.com/urun/923/1903608-scania-p-g-r-suspansiyon-korugu-423608-s-ekersan"
"28","30","sales-priority-1","316","ESB 532 10","21022167 ROR Meritor Dorse Bijon ESB 532 10","Bijon","bijon-grup","bijon","199.31","280","21022167","BMC Probus | BMC Profesyonel | BMC Fatih | BMC Pro 522/827 | ROR dorse dingili","yes","21022167-ror-meritor-bijon","14","https://www.frenciniz.com/urun/316/21022167-ror-meritor-dorse-bijon-esb-532-10-ekersan"
"29","30","sales-priority-1","391","ESB 1313 10","21022167 ROR Meritor Dorse Bijon ESB 1313 10","Bijon","bijon-grup","bijon","218.55","280","21022167","ROR dorse dingili | Meritor/ROR treyler | Dorse / treyler | ROR dorse | Meritor/ROR","yes","21022167-ror-meritor-bijon","14","https://www.frenciniz.com/urun/391/21022167-ror-meritor-dorse-bijon-esb-1313-10-ekersan"
"30","26","sales-priority-1","2","ESB 1315 10","21022167 ROR Meritor Dorse Bijon ESB 1315 10","Bijon","bijon-grup","bijon","218.55","155","21022167","ROR dorse dingili | Meritor/ROR treyler | Dorse / treyler | ROR dorse | Meritor/ROR","no","21022167-ror-meritor-bijon","14","https://www.frenciniz.com/urun/2/21022167-ror-meritor-dorse-bijon-esb-1315-10-ekersan"
"31","30","sales-priority-1","9","ESB 4000 12","31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12","Disk Bijonu/Civatası","bijon-grup","fren diski","73.46","3990","31796200","Knorr / WABCO / Meritor kaliper uygulamaları | Disk fren montaj sistemi | ROR dorse | Meritor/ROR | Gigant aks","yes","31796200-ror-meritor-knorr-wabco-disk-bijonu","15","https://www.frenciniz.com/urun/9/31796200-ror-meritor-knorr-wabco-disk-bijonu-esb-4000-12-ekersan"
"32","29","sales-priority-1","231","ESD 010 12","9434210312 Mercedes Axor Actros Fren Diski ESD 010 12","Fren Diski","disk","fren diski","3857.59","1291","9434210312","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/231/9434210312-mercedes-axor-actros-fren-diski-esd-010-12-ekersan"
"33","29","sales-priority-1","216","ESD 030 09","2995812 Ford Cargo Fren Diski ESD 030 09","Fren Diski","disk","fren diski","4849.54","534","2995812, 2996328, 7189476, 7185503","Iveco Eurocargo | Iveco Eurotech | Iveco Stralis | Otoyol / Iveco otobüs | Iveco Stralis 430","yes","","","https://www.frenciniz.com/urun/216/2995812-ford-cargo-fren-diski-esd-030-09-ekersan"
