"campaign","ad_group","match_type","keyword","final_url","product_id","category","demand_group","stock","price"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo Bijon","https://www.frenciniz.com/urun/309/2476077-ford-cargo-bijon-dps-esb-621-20-ekersan","309","Bijon","","2301","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo 2476077","https://www.frenciniz.com/urun/309/2476077-ford-cargo-bijon-dps-esb-621-20-ekersan","309","Bijon","","2301","186.94"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3814011271-3814010071 Mercedes Axor Actros Bijon 84 mm ESB 112 20-1","https://www.frenciniz.com/urun/252/3814011271-3814010071-mercedes-axor-actros-bijon-84-mm-esb-112-20-1-ekersan","252","Bijon","","2298","178.69"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros Bijon","https://www.frenciniz.com/urun/252/3814011271-3814010071-mercedes-axor-actros-bijon-84-mm-esb-112-20-1-ekersan","252","Bijon","","2298","178.69"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros 3814011271-3814010071","https://www.frenciniz.com/urun/252/3814011271-3814010071-mercedes-axor-actros-bijon-84-mm-esb-112-20-1-ekersan","252","Bijon","","2298","178.69"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3274010471 Mercedes Axor Actros Bijon 77 mm DPS","https://www.frenciniz.com/urun/254/3274010471-mercedes-axor-actros-bijon-77-mm-dps-ekersan","254","Bijon","","2142","178.03"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros Bijon","https://www.frenciniz.com/urun/254/3274010471-mercedes-axor-actros-bijon-77-mm-dps-ekersan","254","Bijon","","2142","178.03"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros 3274010471","https://www.frenciniz.com/urun/254/3274010471-mercedes-axor-actros-bijon-77-mm-dps-ekersan","254","Bijon","","2142","178.03"
"Frenciniz Urun Arama - Exact","Bijon","Exact","1573081 Volvo FH12 FM FL Bijon DPS ESB 1410 20","https://www.frenciniz.com/urun/389/1573081-volvo-fh12-fm-fl-bijon-dps-esb-1410-20-ekersan","389","Bijon","","2097","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH Bijon","https://www.frenciniz.com/urun/389/1573081-volvo-fh12-fm-fl-bijon-dps-esb-1410-20-ekersan","389","Bijon","","2097","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Volvo FH 1573081","https://www.frenciniz.com/urun/389/1573081-volvo-fh12-fm-fl-bijon-dps-esb-1410-20-ekersan","389","Bijon","","2097","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","3814011171 Mercedes Axor Actros Bijon 100 mm ESB 115 10-1","https://www.frenciniz.com/urun/249/3814011171-mercedes-axor-actros-bijon-100-mm-esb-115-10-1-ekersan","249","Bijon","","2082","178.69"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros Bijon","https://www.frenciniz.com/urun/249/3814011171-mercedes-axor-actros-bijon-100-mm-esb-115-10-1-ekersan","249","Bijon","","2082","178.69"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Mercedes-Benz Actros 3814011171","https://www.frenciniz.com/urun/249/3814011171-mercedes-axor-actros-bijon-100-mm-esb-115-10-1-ekersan","249","Bijon","","2082","178.69"
