id,sku,name,category_id,stock,site_price,oem
700,20-2640,ROR Meritor Knorr WABCO Kaliper Tamir Takımı 20-2640,kaliper-tamir-takimi,10,722.04,
703,10-1096,MAN TGA TGS TGX TGM Sensör,sensor,5,1082.4,
705,10-1169,ROR Meritor Knorr WABCO Kaliper Tamir Takımı 69 Luk Y.M.,kaliper-tamir-takimi,5,514.8,
708,60-6081,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Frenco Kaliper Tamir Takımı 60-6081,kaliper-tamir-takimi-frenco,4,417.12,
709,60-6090,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Frenco Kaliper Tamir Takımı 60-6090,kaliper-tamir-takimi-frenco,10,612.48,
713,30-3583,Ford Cargo Krone Dorse Kögel Dorse Disk Fren Balatası Sol 30-3583,fren-balatasi,1,843.48,
715,EYD 91 30,Ford Cargo Krone Dorse Kögel Dorse ABS Sensörü ABS'li Y.M.,abs-sensoru-modulu-kablo,13,607.2,
740,ESP.30.02,Ford Cargo Krone Dorse Kögel Dorse Porya ESP.30.02,porya,1,6375.6,
741,ESP.23.01,Ford Cargo Krone Dorse Kögel Dorse Porya ESP.23.01,porya,5,5313,
747,ESP.16.25,Ford Cargo Krone Dorse Kögel Dorse Porya ESP.16.25,porya,1,8045.4,
748,ESP.16.12.15,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Porya ESP.16.12.15,porya,1,6679.2,"0327243290, 0980107350"
752,ESP.08.10,Ford Cargo Porya Ön ESP.08.10,porya,7,7438.2,"9C461106AA, RF8C46, 1106AB"
759,ESP.03.11,Scania P G R Porya ESP.03.11,porya,2,9259.8,"1800283, 2290542"
760,ESP.03.03,Scania P G R Porya ESP.03.03,porya,1,9259.8,1724790
761,ESP.03.02,Scania P G R Porya ESP.03.02,porya,2,8956.2,1800283 - 1382884
763,ESP.02.21,Ford Cargo Krone Dorse Kögel Dorse Porya ESP.02.21,porya,1,4857.6,81443010182
769,ESP.01.27,Mercedes Axor Actros Porya ESP.01.27,porya,1,11536.8,9463560701
771,H-24328,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Pabucu H-24328,fren-pabucu,382,42.24,(A) A4
772,H-24327,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Pabucu H-24327,fren-pabucu,389,42.24,(A) A4
791,EYD 91 02,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Diski ABS'li Y.M.,fren-diski,70,264,0331008510 - 0331008530
794,EYD 80 24,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Pabucu 20 cm EYD 80 24,fren-pabucu,26,1287,(A) D3
795,EYD 80 07,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Pabucu 18 cm,fren-pabucu,30,1518,(A) G4 - 3054.0120.00
814,EYD 70 65,Ford Cargo Krone Dorse Kögel Dorse Fren Yayı Özel,yay,26,66,
827,EYD 70 04-2,Ford Cargo Krone Dorse Kögel Dorse Fren Yayı 28 cm,yay,184,85.8,(A) B4
829,EYD 70 04,Ford Cargo Krone Dorse Kögel Dorse Fren Yayı 25 cm,yay,22,85.8,(A) C4
848,EYD 206 23,Ford Cargo Fren Pabucu 20 cm EYD 206 23,fren-pabucu,12,1062.6,
869,EYD 100 41,Ford Cargo Krone Dorse Kögel Dorse Fren Körüğü EYD 100 41,fren-korugu,1,120.45,
875,EYD 10 05,MAN TGA TGS TGX TGM Fren Yayı,yay,11,85.8,(A) C4
885,42836.C1,DAF Cf Xf Süspansiyon Körüğü 42836.C1,suspansiyon-korugu,279,2772,"1697678 , 0388165"
909,424881.CP,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Süspansiyon Körüğü Kısa,suspansiyon-korugu,4,3564,0542943410
951,KIZAK 10503,29171 BPW Kogel Dorse Disk Fren Balatasi KIZAK 10503,kizak,3,3960,"K012619, 2379697"
952,8138,Ford Cargo Krone Dorse Kögel Dorse 16/24 D/D İmdatlı Fren Körüğü Disk Tipi 8138,fren-korugu,797,2772,
963,8106-1,Ford Cargo Krone Dorse Kögel Dorse 24/24 D/P İmdatlı Fren Körüğü M22 64 mm Disk Tipi,fren-korugu,1,3300,
971,60-6310,ROR Meritor Knorr WABCO Kaliper 60-6310,kaliper,1,5237.76,
974,427138,ROR Meritor Knorr WABCO Kaliper Ayar Mekanizması 427138,kaliper-ayar-mekanizmasi,21,3762,
983,425210,Ford Cargo Krone Dorse Kögel Dorse Kaliper Toz Lastiği 425210,kaliper-toz-lastigi,61,92.4,
1017,42325/1-300,29279 MAN TGA TGS TGX Disk Fren Balatasi 42325/1-300,fren-balatasi,16,2059.2,29279
1043,10-1160,ROR Meritor Knorr WABCO Kaliper Tamir Takımı 10-1160,kaliper-tamir-takimi,18,471.24,"II179320065, II304130065, 1746824, 1759811, 0980102630, 81508226007, 81508226022, 0004200682, 0004203982, 3434380400, 1390429,"
1045,10-1153,ROR Meritor Knorr WABCO Kaliper 10-1153,kaliper,1,917.4,
1051,10-1071,ROR Meritor Knorr WABCO WABCO Kaliper Tamir Takımı 10-1071,kaliper-tamir-takimi-wabco,20,231,
